Pays,Serie,Valeurs 2017
Allemagne,Taux d’intérêt des dépôts (%),
Allemagne,Taux d’intérêt des prêts (%),
Allemagne,Taux d’intérêt réel (%),
Allemagne,Croissance du PIB (% annuel),2.680231114
Allemagne,Croissance du PIB par habitant (% annuel),2.297206047
Allemagne,PIB ($ US courants),3.68E+12
Allemagne,PIB par habitant ($ US courants),44542.2952
Allemagne,PIB par habitant ($ US constants de 2010),42622.40993
Allemagne,PIB ($ US constants de 2010),3.52E+12
Allemagne,RNB ($ US courants),3.77E+12
Allemagne,RNB (dollars US constants 2010),3.61E+12
Allemagne,Croissance du RNB (% annuel),2.573024351
Allemagne,Croissance du RNB par habitant (% annuel),2.190399194
Allemagne,RNB par habitant en PPA (dollars internationaux constants de 2011),54335.96281
Allemagne,"RNB par habitant, ($ PPA internationaux courants)",54340
Allemagne,"PIB par habitant, ($ PPA internationaux constants de 2011)",53071.45557
Allemagne,"PIB par habitant, ($ PPA internationaux courants)",53071.45557
Andorre,"Dette du gouvernement central, total (% du PIB)",
Andorre,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",
Andorre,Total de dette extérieure (% du RNB),
Andorre,Valeur actuelle de la dette extérieure ($ US courants),
Andorre,"Compte de capitaux nets (BDP, $ US courants)",
Andorre,Taux d’intérêt des dépôts (%),
Andorre,Taux d’intérêt des prêts (%),
Andorre,Taux d’intérêt réel (%),
Andorre,Croissance du PIB (% annuel),0.34607189
Andorre,Croissance du PIB par habitant (% annuel),0.734439351
Andorre,PIB ($ US courants),3000180750
Andorre,PIB par habitant ($ US courants),38964.90448
Andorre,PIB par habitant ($ US constants de 2010),37707.6836
Andorre,PIB ($ US constants de 2010),2903378514
Andorre,RNB ($ US courants),
Andorre,RNB (dollars US constants 2010),
Andorre,Croissance du RNB (% annuel),
Andorre,Croissance du RNB par habitant (% annuel),
Andorre,RNB par habitant en PPA (dollars internationaux constants de 2011),
Andorre,"RNB par habitant, ($ PPA internationaux courants)",
Andorre,"PIB par habitant, ($ PPA internationaux constants de 2011)",
Andorre,"PIB par habitant, ($ PPA internationaux courants)",
Angola,"Dette du gouvernement central, total (% du PIB)",
Angola,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",30099158.2
Angola,Total de dette extérieure (% du RNB),7.979776292
Angola,Valeur actuelle de la dette extérieure ($ US courants),
Angola,"Compte de capitaux nets (BDP, $ US courants)",2625653
Angola,Taux d’intérêt des dépôts (%),6.342193231
Angola,Taux d’intérêt des prêts (%),15.80610038
Angola,Taux d’intérêt réel (%),-5.55269606
Angola,Croissance du PIB (% annuel),-0.147212941
Angola,Croissance du PIB par habitant (% annuel),-3.409983376
Angola,PIB ($ US courants),1.22E+11
Angola,PIB par habitant ($ US courants),4095.810057
Angola,PIB par habitant ($ US constants de 2010),3790.791565
Angola,PIB ($ US constants de 2010),1.13E+11
Angola,RNB ($ US courants),1.15E+11
Angola,RNB (dollars US constants 2010),1.06E+11
Angola,Croissance du RNB (% annuel),-1.336264693
Angola,Croissance du RNB par habitant (% annuel),-4.560181902
Angola,RNB par habitant en PPA (dollars internationaux constants de 2011),6861.575738
Angola,"RNB par habitant, ($ PPA internationaux courants)",6860
Angola,"PIB par habitant, ($ PPA internationaux constants de 2011)",7310.896589
Angola,"PIB par habitant, ($ PPA internationaux courants)",7310.896589
Antigua-et-Barbuda,"Dette du gouvernement central, total (% du PIB)",
Antigua-et-Barbuda,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",
Antigua-et-Barbuda,Total de dette extérieure (% du RNB),
Antigua-et-Barbuda,Valeur actuelle de la dette extérieure ($ US courants),
Antigua-et-Barbuda,"Compte de capitaux nets (BDP, $ US courants)",33550775.48
Antigua-et-Barbuda,Taux d’intérêt des dépôts (%),1.755
Antigua-et-Barbuda,Taux d’intérêt des prêts (%),9.31
Antigua-et-Barbuda,Taux d’intérêt réel (%),10.33597248
Antigua-et-Barbuda,Croissance du PIB (% annuel),3.14432324
Antigua-et-Barbuda,Croissance du PIB par habitant (% annuel),2.166114044
Antigua-et-Barbuda,PIB ($ US courants),1467977778
Antigua-et-Barbuda,PIB par habitant ($ US courants),15383.5764
Antigua-et-Barbuda,PIB par habitant ($ US constants de 2010),15242.60581
Antigua-et-Barbuda,PIB ($ US constants de 2010),1454503450
Antigua-et-Barbuda,RNB ($ US courants),1389228037
Antigua-et-Barbuda,RNB (dollars US constants 2010),
Antigua-et-Barbuda,Croissance du RNB (% annuel),
Antigua-et-Barbuda,Croissance du RNB par habitant (% annuel),
Antigua-et-Barbuda,RNB par habitant en PPA (dollars internationaux constants de 2011),18775.95101
Antigua-et-Barbuda,"RNB par habitant, ($ PPA internationaux courants)",18780
Antigua-et-Barbuda,"PIB par habitant, ($ PPA internationaux constants de 2011)",19840.28404
Antigua-et-Barbuda,"PIB par habitant, ($ PPA internationaux courants)",19840.28404
Arabie saoudite,"Dette du gouvernement central, total (% du PIB)",
Arabie saoudite,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",
Arabie saoudite,Total de dette extérieure (% du RNB),
Arabie saoudite,Valeur actuelle de la dette extérieure ($ US courants),
Arabie saoudite,"Compte de capitaux nets (BDP, $ US courants)",-1848346667
Arabie saoudite,Taux d’intérêt des dépôts (%),
Arabie saoudite,Taux d’intérêt des prêts (%),
Arabie saoudite,Taux d’intérêt réel (%),
Arabie saoudite,Croissance du PIB (% annuel),-0.741502653
Arabie saoudite,Croissance du PIB par habitant (% annuel),-2.71382745
Arabie saoudite,PIB ($ US courants),6.89E+11
Arabie saoudite,PIB par habitant ($ US courants),20802.46631
Arabie saoudite,PIB par habitant ($ US constants de 2010),19946.95537
Arabie saoudite,PIB ($ US constants de 2010),6.60E+11
Arabie saoudite,RNB ($ US courants),6.99E+11
Arabie saoudite,RNB (dollars US constants 2010),6.72E+11
Arabie saoudite,Croissance du RNB (% annuel),-1.341649183
Arabie saoudite,Croissance du RNB par habitant (% annuel),-3.302048716
Arabie saoudite,RNB par habitant en PPA (dollars internationaux constants de 2011),48041.17305
Arabie saoudite,"RNB par habitant, ($ PPA internationaux courants)",48040
Arabie saoudite,"PIB par habitant, ($ PPA internationaux constants de 2011)",47306.22232
Arabie saoudite,"PIB par habitant, ($ PPA internationaux courants)",47306.22232
Argentine,"Dette du gouvernement central, total (% du PIB)",
Argentine,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",1497677.5
Argentine,Total de dette extérieure (% du RNB),6.448000749
Argentine,Valeur actuelle de la dette extérieure ($ US courants),
Argentine,"Compte de capitaux nets (BDP, $ US courants)",173045282.4
Argentine,Taux d’intérêt des dépôts (%),18.99974256
Argentine,Taux d’intérêt des prêts (%),26.58083333
Argentine,Taux d’intérêt réel (%),0.455892832
Argentine,Croissance du PIB (% annuel),2.818502978
Argentine,Croissance du PIB par habitant (% annuel),1.757648183
Argentine,PIB ($ US courants),6.44E+11
Argentine,PIB par habitant ($ US courants),14613.04182
Argentine,PIB par habitant ($ US constants de 2010),13595.03736
Argentine,PIB ($ US constants de 2010),5.99E+11
Argentine,RNB ($ US courants),6.27E+11
Argentine,RNB (dollars US constants 2010),5.83E+11
Argentine,Croissance du RNB (% annuel),2.388855582
Argentine,Croissance du RNB par habitant (% annuel),1.332433778
Argentine,RNB par habitant en PPA (dollars internationaux constants de 2011),22996.67142
Argentine,"RNB par habitant, ($ PPA internationaux courants)",23000
Argentine,"PIB par habitant, ($ PPA internationaux constants de 2011)",23597.11775
Argentine,"PIB par habitant, ($ PPA internationaux courants)",23597.11775
Arménie,"Dette du gouvernement central, total (% du PIB)",
Arménie,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",54239501.4
Arménie,Total de dette extérieure (% du RNB),12.01374632
Arménie,Valeur actuelle de la dette extérieure ($ US courants),
Arménie,"Compte de capitaux nets (BDP, $ US courants)",46308333.43
Arménie,Taux d’intérêt des dépôts (%),9.013334979
Arménie,Taux d’intérêt des prêts (%),14.40600168
Arménie,Taux d’intérêt réel (%),11.99733996
Arménie,Croissance du PIB (% annuel),7.500000002
Arménie,Croissance du PIB par habitant (% annuel),7.18452239
Arménie,PIB ($ US courants),11527458566
Arménie,PIB par habitant ($ US courants),3914.527854
Arménie,PIB par habitant ($ US constants de 2010),3860.218058
Arménie,PIB ($ US constants de 2010),11367527675
Arménie,RNB ($ US courants),11932816383
Arménie,RNB (dollars US constants 2010),11773824735
Arménie,Croissance du RNB (% annuel),8.708442084
Arménie,Croissance du RNB par habitant (% annuel),8.389418088
Arménie,RNB par habitant en PPA (dollars internationaux constants de 2011),12541.16263
Arménie,"RNB par habitant, ($ PPA internationaux courants)",12540
Arménie,"PIB par habitant, ($ PPA internationaux constants de 2011)",12115.13929
Arménie,"PIB par habitant, ($ PPA internationaux courants)",12115.13929
Aruba,"Dette du gouvernement central, total (% du PIB)",
Aruba,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",
Aruba,Total de dette extérieure (% du RNB),
Aruba,Valeur actuelle de la dette extérieure ($ US courants),
Aruba,"Compte de capitaux nets (BDP, $ US courants)",
Aruba,Taux d’intérêt des dépôts (%),1.6
Aruba,Taux d’intérêt des prêts (%),6.3
Aruba,Taux d’intérêt réel (%),4.611516205
Aruba,Croissance du PIB (% annuel),1.999999104
Aruba,Croissance du PIB par habitant (% annuel),1.519821434
Aruba,PIB ($ US courants),3092430168
Aruba,PIB par habitant ($ US courants),29350.80502
Aruba,PIB par habitant ($ US constants de 2010),29286.24932
Aruba,PIB ($ US constants de 2010),3085628515
Aruba,RNB ($ US courants),2921759553
Aruba,RNB (dollars US constants 2010),
Aruba,Croissance du RNB (% annuel),
Aruba,Croissance du RNB par habitant (% annuel),
Aruba,RNB par habitant en PPA (dollars internationaux constants de 2011),36750.39809
Aruba,"RNB par habitant, ($ PPA internationaux courants)",36750
Aruba,"PIB par habitant, ($ PPA internationaux constants de 2011)",38897.12267
Aruba,"PIB par habitant, ($ PPA internationaux courants)",38897.12267
Australie,"Dette du gouvernement central, total (% du PIB)",
Australie,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",
