Pays,Serie,Valeurs 2017
Angola,Exportations de biens et de services ($ US courants),35420915617
Angola,Exportations de marchandises ($ US courants),34613000000
Angola,Exportations de nourriture (% des marchandises exportées),0.42255271
Angola,Indice de la valeur des exportations (2000=100),436.9833977
Angola,Indice du volume des exportations (2000=100),225.9479972
Antigua-et-Barbuda,"Coût des procédures d’importation, formalités documentaires (USD)",100
Antigua-et-Barbuda,"Coût des procédures d’importation, formalités douanières (USD)",546.3889
Antigua-et-Barbuda,Importations de biens et de services ($ US courants),970767333.3
Antigua-et-Barbuda,Importations de marchandises ($ US courants),554000000
Antigua-et-Barbuda,Importations de nourriture (% des marchandises importées),23.03654834
Antigua-et-Barbuda,Indice de la valeur des importations (2000=100),136.1808354
Antigua-et-Barbuda,Indice du volume des importations (2000=100),80.51042212
Antigua-et-Barbuda,"Coût des procédures d’exportation, formalités documentaires (USD)",120.8333
Antigua-et-Barbuda,"Coût des procédures d’exportation, formalités douanières (USD)",546.3889
Antigua-et-Barbuda,Exportations de biens et de services ($ US courants),994427259.3
Antigua-et-Barbuda,Exportations de marchandises ($ US courants),21000000
Antigua-et-Barbuda,Exportations de nourriture (% des marchandises exportées),52.27173239
Antigua-et-Barbuda,Indice de la valeur des exportations (2000=100),40.10769231
Antigua-et-Barbuda,Indice du volume des exportations (2000=100),43.41007435
Arabie saoudite,"Coût des procédures d’importation, formalités documentaires (USD)",390.3846
Arabie saoudite,"Coût des procédures d’importation, formalités douanières (USD)",778.8462
Arabie saoudite,Importations de biens et de services ($ US courants),2.02E+11
Arabie saoudite,Importations de marchandises ($ US courants),1.35E+11
Arabie saoudite,Importations de nourriture (% des marchandises importées),15.97346652
Arabie saoudite,Indice de la valeur des importations (2000=100),444.8679184
Arabie saoudite,Indice du volume des importations (2000=100),250.6619504
Arabie saoudite,"Coût des procédures d’exportation, formalités documentaires (USD)",105
Arabie saoudite,"Coût des procédures d’exportation, formalités douanières (USD)",363
Arabie saoudite,Exportations de biens et de services ($ US courants),2.40E+11
Arabie saoudite,Exportations de marchandises ($ US courants),2.22E+11
Arabie saoudite,Exportations de nourriture (% des marchandises exportées),1.656908595
Arabie saoudite,Indice de la valeur des exportations (2000=100),285.9323993
Arabie saoudite,Indice du volume des exportations (2000=100),155.1262719
Argentine,"Coût des procédures d’importation, formalités documentaires (USD)",120
Argentine,"Coût des procédures d’importation, formalités douanières (USD)",1200
Argentine,Importations de biens et de services ($ US courants),89910533566
Argentine,Importations de marchandises ($ US courants),66937000000
Argentine,Importations de nourriture (% des marchandises importées),4.179297996
Argentine,Indice de la valeur des importations (2000=100),266.10877
Argentine,Indice du volume des importations (2000=100),224.2444836
Argentine,"Coût des procédures d’exportation, formalités documentaires (USD)",60
Argentine,"Coût des procédures d’exportation, formalités douanières (USD)",150
Argentine,Exportations de biens et de services ($ US courants),72860588696
Argentine,Exportations de marchandises ($ US courants),58644000000
Argentine,Exportations de nourriture (% des marchandises exportées),59.82492329
Argentine,Indice de la valeur des exportations (2000=100),222.6339167
Argentine,Indice du volume des exportations (2000=100),124.4539695
Arménie,"Coût des procédures d’importation, formalités documentaires (USD)",100
Arménie,"Coût des procédures d’importation, formalités douanières (USD)",0
Arménie,Importations de biens et de services ($ US courants),5646878996
Arménie,Importations de marchandises ($ US courants),4189000000
Arménie,Importations de nourriture (% des marchandises importées),18.01111744
Arménie,Indice de la valeur des importations (2000=100),475.0272851
Arménie,Indice du volume des importations (2000=100),326.1000122
Arménie,"Coût des procédures d’exportation, formalités documentaires (USD)",100
Arménie,"Coût des procédures d’exportation, formalités douanières (USD)",100
Arménie,Exportations de biens et de services ($ US courants),4405338828
Arménie,Exportations de marchandises ($ US courants),2245000000
Arménie,Exportations de nourriture (% des marchandises exportées),30.51783515
Arménie,Indice de la valeur des exportations (2000=100),763.2163732
Arménie,Indice du volume des exportations (2000=100),396.4101372
Aruba,"Coût des procédures d’importation, formalités documentaires (USD)",
Aruba,"Coût des procédures d’importation, formalités douanières (USD)",
Aruba,Importations de biens et de services ($ US courants),2203528845
Aruba,Importations de marchandises ($ US courants),
Aruba,Importations de nourriture (% des marchandises importées),29.57040338
Aruba,Indice de la valeur des importations (2000=100),43.54004007
Aruba,Indice du volume des importations (2000=100),18.46644955
Aruba,"Coût des procédures d’exportation, formalités documentaires (USD)",
Aruba,"Coût des procédures d’exportation, formalités douanières (USD)",
Aruba,Exportations de biens et de services ($ US courants),2243516790
Aruba,Exportations de marchandises ($ US courants),
Aruba,Exportations de nourriture (% des marchandises exportées),44.10683433
Aruba,Indice de la valeur des exportations (2000=100),5.33306651
Aruba,Indice du volume des exportations (2000=100),2.36233882
Australie,"Coût des procédures d’importation, formalités documentaires (USD)",100
Australie,"Coût des procédures d’importation, formalités douanières (USD)",525
Australie,Importations de biens et de services ($ US courants),2.75E+11
Australie,Importations de marchandises ($ US courants),2.29E+11
Australie,Importations de nourriture (% des marchandises importées),6.474606142
Australie,Indice de la valeur des importations (2000=100),319.8433167
Australie,Indice du volume des importations (2000=100),250.5888729
Australie,"Coût des procédures d’exportation, formalités documentaires (USD)",264
Australie,"Coût des procédures d’exportation, formalités douanières (USD)",749
Australie,Exportations de biens et de services ($ US courants),2.82E+11
Australie,Exportations de marchandises ($ US courants),2.31E+11
Australie,Exportations de nourriture (% des marchandises exportées),13.66922924
Australie,Indice de la valeur des exportations (2000=100),361.8747222
Australie,Indice du volume des exportations (2000=100),164.3658382
Autriche,"Coût des procédures d’importation, formalités documentaires (USD)",0
Autriche,"Coût des procédures d’importation, formalités douanières (USD)",0
Autriche,Importations de biens et de services ($ US courants),2.12E+11
Autriche,Importations de marchandises ($ US courants),1.76E+11
Autriche,Importations de nourriture (% des marchandises importées),7.735194648
Autriche,Indice de la valeur des importations (2000=100),243.3761596
Autriche,Indice du volume des importations (2000=100),135.0371702
Autriche,"Coût des procédures d’exportation, formalités documentaires (USD)",0
Autriche,"Coût des procédures d’exportation, formalités douanières (USD)",0
Autriche,Exportations de biens et de services ($ US courants),2.25E+11
Autriche,Exportations de marchandises ($ US courants),1.68E+11
Autriche,Exportations de nourriture (% des marchandises exportées),7.637658872
Autriche,Indice de la valeur des exportations (2000=100),248.7684476
Autriche,Indice du volume des exportations (2000=100),157.938629
Azerbaïdjan,"Coût des procédures d’importation, formalités documentaires (USD)",200
Azerbaïdjan,"Coût des procédures d’importation, formalités douanières (USD)",300
Azerbaïdjan,Importations de biens et de services ($ US courants),17104055310
Azerbaïdjan,Importations de marchandises ($ US courants),8783000000
Azerbaïdjan,Importations de nourriture (% des marchandises importées),18.98898714
Azerbaïdjan,Indice de la valeur des importations (2000=100),749.4283276
Azerbaïdjan,Indice du volume des importations (2000=100),496.9274429
Azerbaïdjan,"Coût des procédures d’exportation, formalités documentaires (USD)",150
Azerbaïdjan,"Coût des procédures d’exportation, formalités douanières (USD)",214.1429
Azerbaïdjan,Exportations de biens et de services ($ US courants),19839356263
Azerbaïdjan,Exportations de marchandises ($ US courants),15481000000
Azerbaïdjan,Exportations de nourriture (% des marchandises exportées),4.27292186
Azerbaïdjan,Indice de la valeur des exportations (2000=100),887.1346705
Azerbaïdjan,Indice du volume des exportations (2000=100),475.1738563
Bahamas,"Coût des procédures d’importation, formalités documentaires (USD)",550
Bahamas,"Coût des procédures d’importation, formalités douanières (USD)",1385
Bahamas,Importations de biens et de services ($ US courants),4904500000
Bahamas,Importations de marchandises ($ US courants),3109000000
Bahamas,Importations de nourriture (% des marchandises importées),18.60492209
Bahamas,Indice de la valeur des importations (2000=100),149.9035494
Bahamas,Indice du volume des importations (2000=100),79.7295199
Bahamas,"Coût des procédures d’exportation, formalités documentaires (USD)",550
Bahamas,"Coût des procédures d’exportation, formalités douanières (USD)",512
Bahamas,Exportations de biens et de services ($ US courants),3992400000
Bahamas,Exportations de marchandises ($ US courants),571000000
Bahamas,Exportations de nourriture (% des marchandises exportées),18.2280212
Bahamas,Indice de la valeur des exportations (2000=100),99.06233721
Bahamas,Indice du volume des exportations (2000=100),66.99133178
Bahreïn,"Coût des procédures d’importation, formalités documentaires (USD)",130
Bahreïn,"Coût des procédures d’importation, formalités douanières (USD)",397
Bahreïn,Importations de biens et de services ($ US courants),23876329787
Bahreïn,Importations de marchandises ($ US courants),13145000000
Bahreïn,Importations de nourriture (% des marchandises importées),10.33687166
Bahreïn,Indice de la valeur des importations (2000=100),234.1773791
Bahreïn,Indice du volume des importations (2000=100),157.2232053
Bahreïn,"Coût des procédures d’exportation, formalités documentaires (USD)",100
Bahreïn,"Coût des procédures d’exportation, formalités douanières (USD)",47.22222
Bahreïn,Exportations de biens et de services ($ US courants),26881914894
Bahreïn,Exportations de marchandises ($ US courants),15376000000
Bahreïn,Exportations de nourriture (% des marchandises exportées),3.455744462
Bahreïn,Indice de la valeur des exportations (2000=100),248.2238018
Bahreïn,Indice du volume des exportations (2000=100),120.7751209
